business_name,category,city,address,phone,source
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Books,Demo City,Demo Address,N/A,BooksToScrape
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Books,Demo City,Demo Address,N/A,BooksToScrape
Princess Between Worlds (Wide-Awake Princess #5),Books,Demo City,Demo Address,N/A,BooksToScrape
"Pop Gun War, Volume 1: Gift",Books,Demo City,Demo Address,N/A,BooksToScrape
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Books,Demo City,Demo Address,N/A,BooksToScrape
Patience,Books,Demo City,Demo Address,N/A,BooksToScrape
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Books,Demo City,Demo Address,N/A,BooksToScrape
orange: The Complete Collection 1 (orange: The Complete Collection #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Online Marketing for Busy Authors: A Step-By-Step Guide,Books,Demo City,Demo Address,N/A,BooksToScrape
On a Midnight Clear,Books,Demo City,Demo Address,N/A,BooksToScrape
Obsidian (Lux #1),Books,Demo City,Demo Address,N/A,BooksToScrape
My Paris Kitchen: Recipes and Stories,Books,Demo City,Demo Address,N/A,BooksToScrape
Masks and Shadows,Books,Demo City,Demo Address,N/A,BooksToScrape
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Books,Demo City,Demo Address,N/A,BooksToScrape
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Books,Demo City,Demo Address,N/A,BooksToScrape
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Books,Demo City,Demo Address,N/A,BooksToScrape
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Books,Demo City,Demo Address,N/A,BooksToScrape
"Layered: Baking, Building, and Styling Spectacular Cakes",Books,Demo City,Demo Address,N/A,BooksToScrape
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Books,Demo City,Demo Address,N/A,BooksToScrape
Join,Books,Demo City,Demo Address,N/A,BooksToScrape
In the Country We Love: My Family Divided,Books,Demo City,Demo Address,N/A,BooksToScrape
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Books,Demo City,Demo Address,N/A,BooksToScrape
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Books,Demo City,Demo Address,N/A,BooksToScrape
I am a Hero Omnibus Volume 1,Books,Demo City,Demo Address,N/A,BooksToScrape
How to Be Miserable: 40 Strategies You Already Use,Books,Demo City,Demo Address,N/A,BooksToScrape
Her Backup Boyfriend (The Sorensen Family #1),Books,Demo City,Demo Address,N/A,BooksToScrape
"Giant Days, Vol. 2 (Giant Days #5-8)",Books,Demo City,Demo Address,N/A,BooksToScrape
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Books,Demo City,Demo Address,N/A,BooksToScrape
First and First (Five Boroughs #3),Books,Demo City,Demo Address,N/A,BooksToScrape
Fifty Shades Darker (Fifty Shades #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Books,Demo City,Demo Address,N/A,BooksToScrape
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Books,Demo City,Demo Address,N/A,BooksToScrape
Danganronpa Volume 1,Books,Demo City,Demo Address,N/A,BooksToScrape
Crown of Midnight (Throne of Glass #2),Books,Demo City,Demo Address,N/A,BooksToScrape
"Codename Baboushka, Volume 1: The Conclave of Death",Books,Demo City,Demo Address,N/A,BooksToScrape
Camp Midnight,Books,Demo City,Demo Address,N/A,BooksToScrape
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Books,Demo City,Demo Address,N/A,BooksToScrape
Burning,Books,Demo City,Demo Address,N/A,BooksToScrape
Bossypants,Books,Demo City,Demo Address,N/A,BooksToScrape
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Books,Demo City,Demo Address,N/A,BooksToScrape
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Books,Demo City,Demo Address,N/A,BooksToScrape
Algorithms to Live By: The Computer Science of Human Decisions,Books,Demo City,Demo Address,N/A,BooksToScrape
A World of Flavor: Your Gluten Free Passport,Books,Demo City,Demo Address,N/A,BooksToScrape
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Books,Demo City,Demo Address,N/A,BooksToScrape
A Murder in Time,Books,Demo City,Demo Address,N/A,BooksToScrape
A Flight of Arrows (The Pathfinders #2),Books,Demo City,Demo Address,N/A,BooksToScrape
A Fierce and Subtle Poison,Books,Demo City,Demo Address,N/A,BooksToScrape
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Books,Demo City,Demo Address,N/A,BooksToScrape
(Un)Qualified: How God Uses Broken People to Do Big Things,Books,Demo City,Demo Address,N/A,BooksToScrape
You Are What You Love: The Spiritual Power of Habit,Books,Demo City,Demo Address,N/A,BooksToScrape
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Books,Demo City,Demo Address,N/A,BooksToScrape
Tuesday Nights in 1980,Books,Demo City,Demo Address,N/A,BooksToScrape
Tracing Numbers on a Train,Books,Demo City,Demo Address,N/A,BooksToScrape
Throne of Glass (Throne of Glass #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Books,Demo City,Demo Address,N/A,BooksToScrape
Thirteen Reasons Why,Books,Demo City,Demo Address,N/A,BooksToScrape
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Books,Demo City,Demo Address,N/A,BooksToScrape
The Wedding Dress,Books,Demo City,Demo Address,N/A,BooksToScrape
The Vacationers,Books,Demo City,Demo Address,N/A,BooksToScrape
The Third Wave: An Entrepreneurâs Vision of the Future,Books,Demo City,Demo Address,N/A,BooksToScrape
The Stranger,Books,Demo City,Demo Address,N/A,BooksToScrape
The Shadow Hero (The Shadow Hero),Books,Demo City,Demo Address,N/A,BooksToScrape
The Secret (The Secret #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The Regional Office Is Under Attack!,Books,Demo City,Demo Address,N/A,BooksToScrape
The Psychopath Test: A Journey Through the Madness Industry,Books,Demo City,Demo Address,N/A,BooksToScrape
The Project,Books,Demo City,Demo Address,N/A,BooksToScrape
The Power of Now: A Guide to Spiritual Enlightenment,Books,Demo City,Demo Address,N/A,BooksToScrape
The Omnivore's Dilemma: A Natural History of Four Meals,Books,Demo City,Demo Address,N/A,BooksToScrape
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Books,Demo City,Demo Address,N/A,BooksToScrape
The Murder of Roger Ackroyd (Hercule Poirot #4),Books,Demo City,Demo Address,N/A,BooksToScrape
The Mistake (Off-Campus #2),Books,Demo City,Demo Address,N/A,BooksToScrape
The Matchmaker's Playbook (Wingmen Inc. #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Books,Demo City,Demo Address,N/A,BooksToScrape
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Books,Demo City,Demo Address,N/A,BooksToScrape
The Kite Runner,Books,Demo City,Demo Address,N/A,BooksToScrape
The House by the Lake,Books,Demo City,Demo Address,N/A,BooksToScrape
The Glittering Court (The Glittering Court #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The Girl on the Train,Books,Demo City,Demo Address,N/A,BooksToScrape
The Genius of Birds,Books,Demo City,Demo Address,N/A,BooksToScrape
The Emerald Mystery,Books,Demo City,Demo Address,N/A,BooksToScrape
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Books,Demo City,Demo Address,N/A,BooksToScrape
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Books,Demo City,Demo Address,N/A,BooksToScrape
The Artist's Way: A Spiritual Path to Higher Creativity,Books,Demo City,Demo Address,N/A,BooksToScrape
The Art of War,Books,Demo City,Demo Address,N/A,BooksToScrape
The Argonauts,Books,Demo City,Demo Address,N/A,BooksToScrape
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Books,Demo City,Demo Address,N/A,BooksToScrape
Suddenly in Love (Lake Haven #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Something More Than This,Books,Demo City,Demo Address,N/A,BooksToScrape
Soft Apocalypse,Books,Demo City,Demo Address,N/A,BooksToScrape
So You've Been Publicly Shamed,Books,Demo City,Demo Address,N/A,BooksToScrape
Shoe Dog: A Memoir by the Creator of NIKE,Books,Demo City,Demo Address,N/A,BooksToScrape
"Shobu Samurai, Project Aryoku (#3)",Books,Demo City,Demo Address,N/A,BooksToScrape
Secrets and Lace (Fatal Hearts #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Scarlett Epstein Hates It Here,Books,Demo City,Demo Address,N/A,BooksToScrape
Romero and Juliet: A Tragic Tale of Love and Zombies,Books,Demo City,Demo Address,N/A,BooksToScrape
Redeeming Love,Books,Demo City,Demo Address,N/A,BooksToScrape
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Books,Demo City,Demo Address,N/A,BooksToScrape
Poems That Make Grown Women Cry,Books,Demo City,Demo Address,N/A,BooksToScrape
"Nightingale, Sing",Books,Demo City,Demo Address,N/A,BooksToScrape
Night Sky with Exit Wounds,Books,Demo City,Demo Address,N/A,BooksToScrape
Mrs. Houdini,Books,Demo City,Demo Address,N/A,BooksToScrape
Modern Romance,Books,Demo City,Demo Address,N/A,BooksToScrape
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Louisa: The Extraordinary Life of Mrs. Adams,Books,Demo City,Demo Address,N/A,BooksToScrape
Little Red,Books,Demo City,Demo Address,N/A,BooksToScrape
Library of Souls (Miss Peregrineâs Peculiar Children #3),Books,Demo City,Demo Address,N/A,BooksToScrape
Large Print Heart of the Pride,Books,Demo City,Demo Address,N/A,BooksToScrape
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Books,Demo City,Demo Address,N/A,BooksToScrape
Hollow City (Miss Peregrineâs Peculiar Children #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Grumbles,Books,Demo City,Demo Address,N/A,BooksToScrape
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Books,Demo City,Demo Address,N/A,BooksToScrape
Frostbite (Vampire Academy #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Follow You Home,Books,Demo City,Demo Address,N/A,BooksToScrape
First Steps for New Christians (Print Edition),Books,Demo City,Demo Address,N/A,BooksToScrape
Finders Keepers (Bill Hodges Trilogy #2),Books,Demo City,Demo Address,N/A,BooksToScrape
"Fables, Vol. 1: Legends in Exile (Fables #1)",Books,Demo City,Demo Address,N/A,BooksToScrape
Eureka Trivia 6.0,Books,Demo City,Demo Address,N/A,BooksToScrape
Drive: The Surprising Truth About What Motivates Us,Books,Demo City,Demo Address,N/A,BooksToScrape
Done Rubbed Out (Reightman & Bailey #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Doing It Over (Most Likely To #1),Books,Demo City,Demo Address,N/A,BooksToScrape
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Books,Demo City,Demo Address,N/A,BooksToScrape
Dark Notes,Books,Demo City,Demo Address,N/A,BooksToScrape
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Books,Demo City,Demo Address,N/A,BooksToScrape
Close to You,Books,Demo City,Demo Address,N/A,BooksToScrape
Chasing Heaven: What Dying Taught Me About Living,Books,Demo City,Demo Address,N/A,BooksToScrape
Big Magic: Creative Living Beyond Fear,Books,Demo City,Demo Address,N/A,BooksToScrape
Becoming Wise: An Inquiry into the Mystery and Art of Living,Books,Demo City,Demo Address,N/A,BooksToScrape
Beauty Restored (Riley Family Legacy Novellas #3),Books,Demo City,Demo Address,N/A,BooksToScrape
Batman: The Long Halloween (Batman),Books,Demo City,Demo Address,N/A,BooksToScrape
Batman: The Dark Knight Returns (Batman),Books,Demo City,Demo Address,N/A,BooksToScrape
Ayumi's Violin,Books,Demo City,Demo Address,N/A,BooksToScrape
Anonymous,Books,Demo City,Demo Address,N/A,BooksToScrape
Amy Meets the Saints and Sages,Books,Demo City,Demo Address,N/A,BooksToScrape
Amid the Chaos,Books,Demo City,Demo Address,N/A,BooksToScrape
Amatus,Books,Demo City,Demo Address,N/A,BooksToScrape
Agnostic: A Spirited Manifesto,Books,Demo City,Demo Address,N/A,BooksToScrape
Zealot: The Life and Times of Jesus of Nazareth,Books,Demo City,Demo Address,N/A,BooksToScrape
You (You #1),Books,Demo City,Demo Address,N/A,BooksToScrape
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Books,Demo City,Demo Address,N/A,BooksToScrape
Wild Swans,Books,Demo City,Demo Address,N/A,BooksToScrape
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Books,Demo City,Demo Address,N/A,BooksToScrape
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Books,Demo City,Demo Address,N/A,BooksToScrape
What's It Like in Space?: Stories from Astronauts Who've Been There,Books,Demo City,Demo Address,N/A,BooksToScrape
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Books,Demo City,Demo Address,N/A,BooksToScrape
Walt Disney's Alice in Wonderland,Books,Demo City,Demo Address,N/A,BooksToScrape
V for Vendetta (V for Vendetta Complete),Books,Demo City,Demo Address,N/A,BooksToScrape
Until Friday Night (The Field Party #1),Books,Demo City,Demo Address,N/A,BooksToScrape
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Books,Demo City,Demo Address,N/A,BooksToScrape
Twenty Yawns,Books,Demo City,Demo Address,N/A,BooksToScrape
Through the Woods,Books,Demo City,Demo Address,N/A,BooksToScrape
This Is Where It Ends,Books,Demo City,Demo Address,N/A,BooksToScrape
The Year of Magical Thinking,Books,Demo City,Demo Address,N/A,BooksToScrape
The Wright Brothers,Books,Demo City,Demo Address,N/A,BooksToScrape
The White Queen (The Cousins' War #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The Wedding Pact (The O'Malleys #2),Books,Demo City,Demo Address,N/A,BooksToScrape
The Time Keeper,Books,Demo City,Demo Address,N/A,BooksToScrape
The Testament of Mary,Books,Demo City,Demo Address,N/A,BooksToScrape
The Star-Touched Queen,Books,Demo City,Demo Address,N/A,BooksToScrape
The Songs of the Gods,Books,Demo City,Demo Address,N/A,BooksToScrape
The Song of Achilles,Books,Demo City,Demo Address,N/A,BooksToScrape
The Rosie Project (Don Tillman #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The Power of Habit: Why We Do What We Do in Life and Business,Books,Demo City,Demo Address,N/A,BooksToScrape
The Marriage of Opposites,Books,Demo City,Demo Address,N/A,BooksToScrape
The Lucifer Effect: Understanding How Good People Turn Evil,Books,Demo City,Demo Address,N/A,BooksToScrape
The Long Haul (Diary of a Wimpy Kid #9),Books,Demo City,Demo Address,N/A,BooksToScrape
The Loney,Books,Demo City,Demo Address,N/A,BooksToScrape
The Literature Book (Big Ideas Simply Explained),Books,Demo City,Demo Address,N/A,BooksToScrape
The Last Mile (Amos Decker #2),Books,Demo City,Demo Address,N/A,BooksToScrape
The Immortal Life of Henrietta Lacks,Books,Demo City,Demo Address,N/A,BooksToScrape
The Hidden Oracle (The Trials of Apollo #1),Books,Demo City,Demo Address,N/A,BooksToScrape
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Books,Demo City,Demo Address,N/A,BooksToScrape
The Guilty (Will Robie #4),Books,Demo City,Demo Address,N/A,BooksToScrape
The First Hostage (J.B. Collins #2),Books,Demo City,Demo Address,N/A,BooksToScrape
The Dovekeepers,Books,Demo City,Demo Address,N/A,BooksToScrape
The Darkest Lie,Books,Demo City,Demo Address,N/A,BooksToScrape
The Bane Chronicles (The Bane Chronicles #1-11),Books,Demo City,Demo Address,N/A,BooksToScrape
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,Books,Demo City,Demo Address,N/A,BooksToScrape
The 14th Colony (Cotton Malone #11),Books,Demo City,Demo Address,N/A,BooksToScrape
That Darkness (Gardiner and Renner #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Tastes Like Fear (DI Marnie Rome #3),Books,Demo City,Demo Address,N/A,BooksToScrape
Take Me with You,Books,Demo City,Demo Address,N/A,BooksToScrape
Swell: A Year of Waves,Books,Demo City,Demo Address,N/A,BooksToScrape
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Still Life with Bread Crumbs,Books,Demo City,Demo Address,N/A,BooksToScrape
Steve Jobs,Books,Demo City,Demo Address,N/A,BooksToScrape
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Books,Demo City,Demo Address,N/A,BooksToScrape
Someone Like You (The Harrisons #2),Books,Demo City,Demo Address,N/A,BooksToScrape
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Books,Demo City,Demo Address,N/A,BooksToScrape
Shtum,Books,Demo City,Demo Address,N/A,BooksToScrape
See America: A Celebration of Our National Parks & Treasured Sites,Books,Demo City,Demo Address,N/A,BooksToScrape
salt.,Books,Demo City,Demo Address,N/A,BooksToScrape
Robin War,Books,Demo City,Demo Address,N/A,BooksToScrape
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Books,Demo City,Demo Address,N/A,BooksToScrape
Rain Fish,Books,Demo City,Demo Address,N/A,BooksToScrape
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",Books,Demo City,Demo Address,N/A,BooksToScrape
Pet Sematary,Books,Demo City,Demo Address,N/A,BooksToScrape
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Books,Demo City,Demo Address,N/A,BooksToScrape
Once Was a Time,Books,Demo City,Demo Address,N/A,BooksToScrape
Old School (Diary of a Wimpy Kid #10),Books,Demo City,Demo Address,N/A,BooksToScrape
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Books,Demo City,Demo Address,N/A,BooksToScrape
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Books,Demo City,Demo Address,N/A,BooksToScrape
My Name Is Lucy Barton,Books,Demo City,Demo Address,N/A,BooksToScrape
My Mrs. Brown,Books,Demo City,Demo Address,N/A,BooksToScrape
My Kind of Crazy,Books,Demo City,Demo Address,N/A,BooksToScrape
Mr. Mercedes (Bill Hodges Trilogy #1),Books,Demo City,Demo Address,N/A,BooksToScrape
More Than Music (Chasing the Dream #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Made to Stick: Why Some Ideas Survive and Others Die,Books,Demo City,Demo Address,N/A,BooksToScrape
Luis Paints the World,Books,Demo City,Demo Address,N/A,BooksToScrape
Luckiest Girl Alive,Books,Demo City,Demo Address,N/A,BooksToScrape
Lowriders to the Center of the Earth (Lowriders in Space #2),Books,Demo City,Demo Address,N/A,BooksToScrape
Love Is a Mix Tape (Music #1),Books,Demo City,Demo Address,N/A,BooksToScrape
Looking for Lovely: Collecting the Moments that Matter,Books,Demo City,Demo Address,N/A,BooksToScrape
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Books,Demo City,Demo Address,N/A,BooksToScrape
Let It Out: A Journey Through Journaling,Books,Demo City,Demo Address,N/A,BooksToScrape
Lady Midnight (The Dark Artifices #1),Books,Demo City,Demo Address,N/A,BooksToScrape
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",Books,Demo City,Demo Address,N/A,BooksToScrape
Island of Dragons (Unwanteds #7),Books,Demo City,Demo Address,N/A,BooksToScrape
